code,name,pop_dens,total_pop,country_percentage,fecha,dia_inicio,dia_cuarentena,provincia,ciudad,tot_casosconf,nue_casosconf,tot_fallecidos,transmision_tipo,informe_tipo,fuente
AR-B,Buenos Aires,"44,95",13827203.0,"38,13",,,,,,,,,,,
AR-C,CABA,"13743,26",2776138.0,"7,66",,,,,,,,,,,
AR-A,Salta,"7,81",1522304.0,"3,03",,,,,,,,,,,
AR-X,Córdoba,"20,01",3001455.0,"8,25",,,,,,,,,,,
AR-R,Río Negro,"3,14",638645.0,"1,59",,,,,,,,,,,
AR-U,Chubut,"2,26",618994.0,"1,27",,,,,,,,,,,
AR-Z,Santa Cruz,"1,12",273964.0,"0,68",,,,,,,,,,,
AR-K,Catamarca,"3,58",367828.0,"0,92",,,,,,,,,,,
AR-S,Santa Fe,"24,02",3194537.0,"7,96",,,,,,,,,,,
AR-G,Santiago del Estero,"6,41",874006.0,"2,18",,,,,,,,,,,
AR-L,La Pampa,"2,22",318951.0,"0,80",,,,,,,,,,,
AR-M,Mendoza,"11,68",1738929.0,"4,33",,,,,,,,,,,
AR-H,Chaco,"10,59",1055259.0,"2,63",,,,,,,,,,,
AR-Q,Neuquén,"5,86",551266.0,"1,37",,,,,,,,,,,
AR-F,La Rioja,"3,72",333642.0,"0,83",,,,,,,,,,,
AR-J,San Juan,"7,59",681055.0,"1,70",,,,,,,,,,,
AR-W,Corrientes,"11,25",992595.0,"2,47",,,,,,,,,,,
AR-P,Formosa,"7,35",530162.0,"1,32",,,,,,,,,,,
AR-E,Entre Ríos,"15,68",1235994.0,"3,08",,,,,,,,,,,
AR-D,San Luis,"5,63",432310.0,"1,08",,,,,,,,,,,
AR-Y,Jujuy,"12,65",880543.0,"1,68",,,,,,,,,,,
AR-N,Misiones,"36,96",1101593.0,"2,75",,,,,,,,,,,
AR-T,Tucumán,"64,29",2250301.0,"3,61",,,,,,,,,,,
AR-V,Tierra del Fuego,"5,92",127205.0,"0,32",,,,,,,,,,,
,,,,,4/07/2020,122.0,106.0,Chubut,C_Indeterminada,75260.0,0.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Córdoba,C_Indeterminada,75273.0,13.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Corrientes,C_Indeterminada,75273.0,0.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Entre Ríos,C_Indeterminada,75278.0,5.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Formosa,C_Indeterminada,75278.0,0.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Jujuy,C_Indeterminada,75292.0,14.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,La Pampa,C_Indeterminada,75292.0,0.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,La Rioja,C_Indeterminada,75297.0,5.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Mendoza,C_Indeterminada,75301.0,4.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Misiones,C_Indeterminada,75301.0,0.0,1479.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Neuquén,C_Indeterminada,75321.0,20.0,1480.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Río Negro,C_Indeterminada,75349.0,28.0,1480.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,San Juan,C_Indeterminada,75349.0,0.0,1480.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Salta,C_Indeterminada,75365.0,16.0,1480.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,San Luis,C_Indeterminada,75366.0,1.0,1480.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Santa Cruz,C_Indeterminada,75366.0,0.0,1480.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Santa Fe,C_Indeterminada,75371.0,5.0,1481.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Santiago del Estero,C_Indeterminada,75371.0,0.0,1481.0,transmision comunitaria,informe provincial,
,,,,,4/07/2020,122.0,106.0,Tierra del Fuego,C_Indeterminada,75375.0,4.0,1481.0,transmision comunitaria,informe provincial,
